,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
736,Producción musical y su efecto en la composición,7869,Introductory,Music,Español,Español,6 Weeks,49.0,385581.0
737,"Principle of Semiconductor Devices Part I: Semiconductors, PN Junctions and Bipolar Junction Transistors",12425,Intermediate,Electronics,English,"English, 中文",8 Weeks,70.0,869750.0
738,"19th-Century Opera: Meyerbeer, Wagner, & Verdi",9340,Introductory,Music,English,English,6 Weeks,99.0,924660.0
739,Modelos predictivos con Machine Learning,5102,Intermediate,Computer Science,Español,Español,4 Weeks,49.0,249998.0
741,Les fondements de la stratégie d’entreprise,33021,Introductory,Business & Management,Français,Français,10 Weeks,150.0,4953150.0
742,Solar Energy: Integration of Photovoltaic Systems in Microgrids,20068,Advanced,Engineering,English,English,9 Weeks,250.0,5017000.0
743,"Automated Software Testing: Unit Testing, Coverage Criteria and Design for Testability",12630,Intermediate,Computer Science,English,English,5 Weeks,99.0,1250370.0
745,Introducción a las ecuaciones diferenciales,9868,Intermediate,Math,Español,Español,7 Weeks,49.0,483532.0
747,Tropical coastal ecosystems,23031,Introductory,Biology & Life Sciences,English,English,9 Weeks,99.0,2280069.0
748,Modern China’s Foundations: The Manchus and the Qing,47166,Introductory,History,English,"English, 中文",15 Weeks,139.0,6556074.0
750,AWS Developer: Deploying on AWS,25244,Advanced,Computer Science,English,English,6 Weeks,149.0,3761356.0
751,Autonomous Mobile Robots,62362,Intermediate,Computer Science,English,English,15 Weeks,50.0,3118100.0
752,Gestión por resultados para gobiernos subnacionales,65955,Introductory,Business & Management,Español,Español,10 Weeks,25.0,1648875.0
753,Introduction to Sociology,10412,Introductory,Social Sciences,English,English,6 Weeks,139.0,1447268.0
755,Desafios e oportunidades na economia digital,6913,Introductory,Economics & Finance,Português,Português,10 Weeks,25.0,172825.0
756,"Cellular Solids Part 1: Structures, Properties and Engineering Applications",7186,Advanced,Engineering,English,English,9 Weeks,99.0,711414.0
757,Introduction to Statistical Methods for Gene Mapping,15419,Advanced,Data Analysis & Statistics,English,English,4 Weeks,49.0,755531.0
